Created At,Tweet,TweetLink,RetweetCount,LikeCount,EngagementRate
2022-12-18,"b'People fed up with rising inflation, unemployment under BJP govt at Centre: Delhi CM Arvind Kejriwal'",https://twitter.com/PTI_News/status/1604386758635843584,16,169,1.85
2022-12-18,"b'Industrialists, high net worth people leaving India because BJP govt not letting them work, sending ED, CBI after them: Delhi CM Kejriwal'",https://twitter.com/PTI_News/status/1604386511968882689,41,375,4.16
2022-12-18,b'I appeal to people to boycott Chinese goods. We will buy Indian products even if those cost double: Delhi CM Arvind Kejriwal',https://twitter.com/PTI_News/status/1604385584746614789,581,5545,61.26
2022-12-18,b'Ultimate goal is to provide seamless connectivity and bring about inclusive development in all regions: PM Modi in Shillong',https://twitter.com/PTI_News/status/1604382814627303424,3,68,0.71
2022-12-18,"b'Why is BJP-led Centre allowing imports to continue from China when it is attacking India, asks Delhi CM Arvind Kejriwal'",https://twitter.com/PTI_News/status/1604382675988385792,53,512,5.65
2022-12-18,"b'Earlier, attempts were made to divide NE; we are removing these divisions: PM Modi in Shillong'",https://twitter.com/PTI_News/status/1604381771524554753,5,144,1.49
2022-12-18,"b""Prime Minister Narendra Modi attends golden jubilee celebrations of Northeastern Council at Shillong's State Conven\xe2\x80\xa6 https://t.co/mtFxlLRJxV""",https://twitter.com/PTI_News/status/1604381761072672768,4,47,0.51
2022-12-18,"b'India, Bangladesh have pivotal role to play in ensuring security of region: Chief of Bangladesh Air Force Air Chief\xe2\x80\xa6 https://t.co/KWp3ToveGZ'",https://twitter.com/PTI_News/status/1604381478594367488,7,73,0.8
2022-12-18,"b""Have shown 'Red Card' to many obstacles that came in way of NE development in last 8 years: PM Modi in Shillong""",https://twitter.com/PTI_News/status/1604381302714945536,5,66,0.71
2022-12-18,"b'NDA govt making sincere efforts to eliminate corruption, discrimination, violence, vote bank politics: PM Modi in Shillong'",https://twitter.com/PTI_News/status/1604381189829115906,14,193,2.07
2022-12-18,"b'Improved air connectivity provided in NE helping export of agri produce, benefiting farmers: PM Modi in Shillong'",https://twitter.com/PTI_News/status/1604381179007840257,8,80,0.88
2022-12-18,"b""Rahul Gandhi-led Bharat Jodo Yatra resumes from Rajasthan's Dausa after day's break, with Chief Minister Ashok Gehl\xe2\x80\xa6 https://t.co/cRtqRsykn8""",https://twitter.com/PTI_News/status/1604380858764627968,7,81,0.88
2022-12-18,"b""Delhi Police's Intelligence Fusion and Strategic Operations unit writes to CBI seeking details from Interpol about\xe2\x80\xa6 https://t.co/547i5q23UN""",https://twitter.com/PTI_News/status/1604380380244561921,13,60,0.73
2022-12-18,"b""Buoyed by its resounding victory in Gujarat, ruling BJP in Madhya Pradesh has come up with 'Abki baar, 200 paar' sl\xe2\x80\xa6 https://t.co/efVvypTGbt""",https://twitter.com/PTI_News/status/1604378199638827009,3,71,0.74
2022-12-18,"b""Goa Chief Minister Pramod Sawant slams Rahul Gandhi over his 'China preparing for war and Indian government sleepin\xe2\x80\xa6 https://t.co/TNDwLZIJ3e""",https://twitter.com/PTI_News/status/1604377443984252930,9,170,1.79
2022-12-18,b'Remarks by Maharashtra Governor B S Koshyari on Shivaji Maharaj and simmering border row with Karnataka expected to\xe2\x80\xa6 https://t.co/rRBVgFez3M',https://twitter.com/PTI_News/status/1604377411683897345,4,54,0.58
2022-12-18,"b'NE was known for violence, separatism; insurgency menace have come down by 70% in last 8 years: HM Amit Shah in Shillong'",https://twitter.com/PTI_News/status/1604372576838356992,7,84,0.91
2022-12-18,"b""PM Modi visited NE over 50 times in 8 years, laid out roadmap for region's progress: HM Amit Shah in Shillong""",https://twitter.com/PTI_News/status/1604372157286404096,23,353,3.76
2022-12-18,b'Mumbai: Stealth guided missile destroyer Mormugao commissioned into Indian Navy; Defence Minister Rajnath Singh and\xe2\x80\xa6 https://t.co/FPuSS3LLj9',https://twitter.com/PTI_News/status/1604369330577494016,8,141,1.49
2022-12-18,b'Modi govt brought peace to northeast; region now moving on path of development: HM Amit Shah in Shillong',https://twitter.com/PTI_News/status/1604369313586372608,14,419,4.33
2022-12-18,"b""Rahul Gandhi trying to sharpen ideological basis of Congress; working with party chief Mallikarjun Kharge as 'jugalbandi': Jairam Ramesh""",https://twitter.com/PTI_News/status/1604358726684594176,7,80,0.87
2022-12-18,"b'With Bharat Jodo Yatra, our party now setting political narrative and forcing BJP to play on Congress-made pitch: Jairam Ramesh to\xc2\xa0PTI'",https://twitter.com/PTI_News/status/1604358715859095552,8,113,1.21
2022-12-18,b'Bharat Jodo Yatra meant to capture battlefield of ideologies; its electoral impact depends entirely on Cong organisation: Jairam Ramesh',https://twitter.com/PTI_News/status/1604358590378041347,9,118,1.27
2022-12-18,"b""All elected representatives of Aam Aadmi Party and its key office-bearers from various states to discuss party's pa\xe2\x80\xa6 https://t.co/BHoKWESJlt""",https://twitter.com/PTI_News/status/1604339023245369349,13,89,1.02
2022-12-18,"b'Amid raging border dispute with Maharashtra and with around five months left for Assembly polls, Winter Session of\xe2\x80\xa6 https://t.co/SC4TJdhqL2'",https://twitter.com/PTI_News/status/1604338782840295424,6,70,0.76
2022-12-18,"b'IIT-Kharagpur concludes first phase of 2021-22 placement session with over 1,600 job offers and 900-plus internship\xe2\x80\xa6 https://t.co/RDt58A9VqK'",https://twitter.com/PTI_News/status/1604338772342341632,7,138,1.45
2022-12-18,b'Teenage girl raped by eight men in Palghar district of Maharashtra. All accused arrested: Police',https://twitter.com/PTI_News/status/1604338052339482625,166,979,11.45
2022-12-18,"b'4 men killed, 2 injured after speeding dumper truck rams into 2 two-wheelers, pedestrian in Chhindwara district of\xe2\x80\xa6 https://t.co/6tOLsxMcT3'",https://twitter.com/PTI_News/status/1604337190388973568,6,72,0.78
2022-12-18,"b'Prime Minister Narendra Modi to visit poll-bound Tripura and Meghalaya on Sunday, inaugurate projects worth more than Rs 6,800 crore'",https://twitter.com/PTI_News/status/1604336798297075712,10,302,3.12
2022-12-18,"b'Urgent need to create new, dedicated fund to help developing countries successfully implement post-2020 global fram\xe2\x80\xa6 https://t.co/TtTWfO6xDK'",https://twitter.com/PTI_News/status/1604336243550359553,8,80,0.88
2022-12-18,"b""With 176 fresh cases, India's COVID-19 tally climbs to 4,46,75,952. Number of active cases declines to 3,552: Health ministry""",https://twitter.com/PTI_News/status/1604335700505071616,5,110,1.15
2022-12-18,b'India beat Bangladesh by 188 runs in first Test to take 1-0 lead in two-match series',https://twitter.com/PTI_News/status/1604332554089222144,12,352,3.64
2022-12-18,"b'South Korea says North Korea has launched a ballistic missile off its east coast, reports AP'",https://twitter.com/PTI_News/status/1604306209552547840,5,198,2.03
2022-12-17,"b'National Human Rights Commission decides to depute its own investigation team, headed by one of its members, for on\xe2\x80\xa6 https://t.co/ShY3QiVCUI'",https://twitter.com/PTI_News/status/1604186327159042049,22,165,1.87
2022-12-17,"b""Australia beat India by seven runs in fourth women's T20 International to take unassailable 3-1 lead in five-match series""",https://twitter.com/PTI_News/status/1604155370796355584,11,177,1.88
2022-12-17,b'NC vice president and former Jammu and Kashmir CM Omar Abdullah: National Conference has always cherished to render\xe2\x80\xa6 https://t.co/99yGKVYFfE',https://twitter.com/PTI_News/status/1604154681923862531,3,82,0.85
2022-12-17,b'Indian Army remains prepared for all military contingencies emanating out of collusive threat from military moderni\xe2\x80\xa6 https://t.co/3s57z1KYy8',https://twitter.com/PTI_News/status/1604153610207907840,10,165,1.75
2022-12-17,b'Teacher who was arrested for allegedly hitting class 5 student with pair of scissors and then throwing her from fir\xe2\x80\xa6 https://t.co/HqdJ9WXFJv',https://twitter.com/PTI_News/status/1604143291519602689,9,234,2.43
2022-12-17,"b'President of Tibetan government-in-exile, Penpa Tsering, says China\'s aggression against India is outcome of its ""f\xe2\x80\xa6 https://t.co/8LYdCAzYL8'",https://twitter.com/PTI_News/status/1604125758745874432,21,314,3.35
2022-12-17,b'Special court in Mumbai grants 30-day extension to Maharashtra Anti Terrorism Squad (ATS) to file charge sheet in c\xe2\x80\xa6 https://t.co/rxzCR4zyh9',https://twitter.com/PTI_News/status/1604101179071660033,7,133,1.4
2022-12-17,"b""BJP holds nationwide protests against Pakistani Foreign Minister Bilawal Bhutto's personal attack on Prime Minister Narendra Modi""",https://twitter.com/PTI_News/status/1604090359339831296,26,442,4.68
2022-12-17,"b'Gurugram: Man orders liquor online, gets duped of nearly Rs 2 lakh; case registered'",https://twitter.com/PTI_News/status/1604077187144876032,17,279,2.96
2022-12-17,"b'India move closer to victory, reduce Bangladesh to 272/6 in second innings on Day 4 of first Test  #INDvsBAN'",https://twitter.com/PTI_News/status/1604069216902340608,3,102,1.05
