Created At,Tweet,TweetLink,RetweetCount,LikeCount,EngagementRate
2022-12-20,b'#BlindCricketWorldCup | Watch an #EXCLUSIVE conversation with Indian Blind Cricket Team player Sunil Ramesh after a\xe2\x80\xa6 https://t.co/O2TQK0WmcJ',https://twitter.com/DDNewsLive/status/1605078436136878083,10,45,0.55
2022-12-20,b'#WinterSession | #LokSabha adjourned to meet again at 11:30 AM https://t.co/83JCwt5A4a',https://twitter.com/DDNewsLive/status/1605076557105487873,3,14,0.17
2022-12-20,b'#G20India | Watch an #Exclusive conversation with Chief Economic Advisor (CEA) Anantha Nageswaran on outcomes of th\xe2\x80\xa6 https://t.co/gNPIjNNkOP',https://twitter.com/DDNewsLive/status/1605074663301795840,7,29,0.36
2022-12-20,"b'Our relationship with India, Pakistan ""stand on their own; it is not zero-sum"", says US State department\n\n@StateDept https://t.co/NMvdUtf7X3'",https://twitter.com/DDNewsLive/status/1605072886015725568,6,23,0.29
2022-12-20,b'PM @narendramodi to address the 96th Episode of #MannKiBaat on December 25 at 11 AM https://t.co/FJUjSCVBoI',https://twitter.com/DDNewsLive/status/1605071041893502977,24,61,0.85
2022-12-20,b'#G20India | India holds the Presidency of the G20 from 1 December 2022 to 30 November 2023.\n\nDo you really know wha\xe2\x80\xa6 https://t.co/T4VxQhFTEb',https://twitter.com/DDNewsLive/status/1605065188515778562,29,155,1.84
2022-12-20,b'.@NIA_India filed Charge sheet in  case related to recruitment of cadres to proscribed organisation CPI (Maoist) https://t.co/tNDAlL0yGP',https://twitter.com/DDNewsLive/status/1605062874929324036,15,44,0.59
2022-12-20,"b'Over 14,000 refugees arrive in Italy from Bangladesh in 2022\n\nRead more: https://t.co/diAoZmbCRE\n\n@DhakaPrasar https://t.co/2iw6bTuTG6'",https://twitter.com/DDNewsLive/status/1605061799463657473,13,51,0.64
2022-12-20,b'RT @MIB_India: Increase in export of Indian musical instruments is a testament to the rise in interest in Indian music day by day.\n \nRead p\xe2\x80\xa6',https://twitter.com/DDNewsLive/status/1605058272179863553,79,0,0.79
2022-12-20,b'RT @MIB_India: Indian music has an important place in hearts of all music lovers across the world.\n \nRead about the importance of Indian mu\xe2\x80\xa6',https://twitter.com/DDNewsLive/status/1605058263233417217,82,0,0.82
2022-12-20,"b'RT @MIB_India: Indian music is not only a source of entertainment, but it also brings a deeper peace &amp; divinity with it.\n \nRead more about\xe2\x80\xa6'",https://twitter.com/DDNewsLive/status/1605058226294136834,86,0,0.86
2022-12-20,"b'RT @MIB_India: Muscular Dystrophy (MD) is an incurable, progressive neuromuscular genetic disorder where muscles gradually lose strength.\xe2\x80\xa6'",https://twitter.com/DDNewsLive/status/1605058205201022977,86,0,0.86
2022-12-20,"b""RT @MIB_India: Inspired by PM @narendramodi's vision of making India\xf0\x9f\x87\xae\xf0\x9f\x87\xb3 a global drone hub by 2030, GoI has undertaken several initiatives.\xe2\x80\xa6""",https://twitter.com/DDNewsLive/status/1605058195369533440,77,0,0.77
2022-12-20,"b""RT @MIB_India: India\xf0\x9f\x87\xae\xf0\x9f\x87\xb3's @g20org presidency marks great honour &amp; greater responsibility as #G20 accounts for 85% of world\xe2\x80\x99s GDP.\n\nRead more\xe2\x80\xa6""",https://twitter.com/DDNewsLive/status/1605058165090852864,250,0,2.5
2022-12-20,"b'""There is no alternative to the two-State solution to guarantee lasting peace between Israel &amp; Palestine. And direc\xe2\x80\xa6 https://t.co/x31PzMrRbK'",https://twitter.com/DDNewsLive/status/1605050361928089600,7,33,0.4
2022-12-20,b'Chinese cities rush to \xe2\x80\x9clive with #COVID19\xe2\x80\x9d amid unprecedented first wave of infections and policy chaos\n\nRead more\xe2\x80\xa6 https://t.co/cOijXBeZ1T',https://twitter.com/DDNewsLive/status/1605043297969352704,8,30,0.38
2022-12-20,b'#DelhiWeather | Delhi covered in thick blanket of fog for second consecutive day.\n\nAQI touches \xe2\x80\x98severe\xe2\x80\x99 mark. https://t.co/6ujW4iadBR',https://twitter.com/DDNewsLive/status/1605033658775003136,16,83,0.99
2022-12-20,b'#AustralianOpen2023 | Seven time major champion and former no.1  @Venuseswilliams awarded wild-card entry for Austr\xe2\x80\xa6 https://t.co/hFrtIMuidn',https://twitter.com/DDNewsLive/status/1605027709834301441,5,26,0.31
2022-12-20,"b'#WeatherUpdate | Dense to Very Dense Fog conditions likely to continue over HP,\nPunjab, Haryana, Chandigarh &amp; Delhi\xe2\x80\xa6 https://t.co/U7avrZkgsl'",https://twitter.com/DDNewsLive/status/1605026110479118338,12,35,0.47
2022-12-20,"b""#INDvsAUS | Fifth and final Women's #T20 match between India and Australia to be played at Brabourne Stadium, Mumba\xe2\x80\xa6 https://t.co/doiOX9kNbT""",https://twitter.com/DDNewsLive/status/1605025694865555460,3,26,0.29
2022-12-20,"b""#NewsFlash | Security forces neutralize 3 terrorists in an encounter in #JammuAndKashmir's Shopian\n\nTerrorists were\xe2\x80\xa6 https://t.co/qJSxNUHjZQ""",https://twitter.com/DDNewsLive/status/1605024329934131201,28,156,1.84
2022-12-20,"b'#COP15Montreal | COP15 Biodiversity Summit in Montreal, Canada approves landmark global deal to protect nature. \n\nL\xe2\x80\xa6 https://t.co/g8MzUwYX5W'",https://twitter.com/DDNewsLive/status/1605022674899681282,5,22,0.27
2022-12-20,b'#EUCrisis | EU countries agree gas price cap to contain energy crisis\n\nThe deal follows weeks of talks on emergency\xe2\x80\xa6 https://t.co/F9GL5LY1cq',https://twitter.com/DDNewsLive/status/1605018091536072704,10,43,0.53
2022-12-20,"b'United States | The US House of Representatives committee meets to probe the Jan. 6, 2021, assault on the\xe2\x80\xa6 https://t.co/vGX284yrlB'",https://twitter.com/DDNewsLive/status/1605017641810362371,9,39,0.48
2022-12-20,b'US accuses @UN of yielding to Russian threats over Iran drone inquiry by not sending officials to Ukraine to inspec\xe2\x80\xa6 https://t.co/yfdl5omAEh',https://twitter.com/DDNewsLive/status/1605015125034995714,5,36,0.41
2022-12-20,b'Russia | Russian President #VladimirPutin lands in Minsk to meet Belarusian counterpart Alexander Lukashenko \n\nBoth\xe2\x80\xa6 https://t.co/GJDdPrJNK1',https://twitter.com/DDNewsLive/status/1605012248467906560,5,67,0.72
